,X_shape,y,X_used,important_features_list,important_feature_importances,Model_used,feature_Selection_method,Modelcheck_mean,Modelcheck_min,Modelcheck_Q1,Modelcheck_Q2,Modelcheck_Q3,Modelcheck_max,Modelcheck_CI_testscore,roc_F1_score_mean_score,roc_auc_mean_score,roc_percesion_mean_score,roc_sensetivity_mean_score,negative_log_likelihood,neg_log_loss
0,"(910, 8)",GeneralS,,"['SO2', 'RR', 'Age', 'Temp', 'SBP', 'DBP', 'HR', 'ISCO - PAL']","[0.22903418922237698, 0.13106798193515662, 0.1287932447716503, 0.12703925702871466, 0.12008579981693332, 0.11736791720589411, 0.11157129297232982, 0.03504031704694434]",RandomForestClassifier(random_state=33),the same as the classifier,0.7476190476190478,0.6923076923076923,0.7362637362637363,0.7472527472527473,0.7692307692307693,0.7912087912087912,"(0.7374254582583806, 0.7578126369797151)",0.5358735082843287,0.7655771707175216,0.6477975202144283,0.5167012227538543,,[-0.6207946624737297]
1,"(910, 8)",GeneralS,,"['SO2', 'RR', 'Age', 'Temp', 'SBP', 'DBP', 'HR', 'ISCO - PAL']","[0.22903418922237698, 0.13106798193515662, 0.1287932447716503, 0.12703925702871466, 0.12008579981693332, 0.11736791720589411, 0.11157129297232982, 0.03504031704694434]",RandomForestClassifier(random_state=33),the same as the classifier,0.7479853479853482,0.6923076923076923,0.7252747252747253,0.7472527472527473,0.7692307692307693,0.8021978021978022,"(0.7362829639929515, 0.759687731977745)",0.5353166159362984,0.766021065354399,0.6435658297101841,0.5146999004893742,,[-0.6104334458944732]
2,"(910, 8)",GeneralS,,"['SO2', 'ISCO - PAL', 'RR', 'Temp', 'SBP', 'DBP', 'HR', 'Age']","[0.05602052008658618, 0.00904244862645124, -0.08883295747411143, -0.20316586847349954, -0.2518621742559856, -0.464413650902009, -1.4586062111307097, -2.697478268694644]","LogisticRegression(random_state=33, solver='sag')",the same as the regressor,0.7219780219780222,0.7142857142857143,0.7142857142857143,0.7252747252747253,0.7252747252747253,0.7252747252747253,"(0.7200654784217677, 0.7238905655342767)",0.27951167728237797,0.628013704294406,0.24065934065934066,0.3333333333333334,,[-0.7112862470818593]
3,"(910, 8)",GeneralS,,"['SO2', 'ISCO - PAL', 'RR', 'Temp', 'SBP', 'DBP', 'HR', 'Age']","[0.05602052008658618, 0.00904244862645124, -0.08883295747411143, -0.20316586847349954, -0.2518621742559856, -0.464413650902009, -1.4586062111307097, -2.697478268694644]","LogisticRegression(random_state=33, solver='sag')",the same as the regressor,0.7219780219780222,0.7142857142857143,0.7142857142857143,0.7252747252747253,0.7252747252747253,0.7252747252747253,"(0.7200654784217677, 0.7238905655342767)",0.27951167728237797,0.628013704294406,0.24065934065934066,0.3333333333333334,,[-0.7112862470818593]
4,"(910, 8)",GeneralS,,"['SO2', 'ISCO - PAL', 'RR', 'Temp', 'SBP', 'DBP', 'HR', 'Age']","[0.05602052008658618, 0.00904244862645124, -0.08883295747411143, -0.20316586847349954, -0.2518621742559856, -0.464413650902009, -1.4586062111307097, -2.697478268694644]","LogisticRegression(random_state=33, solver='sag')",the same as the regressor,0.7219780219780222,0.7142857142857143,0.7142857142857143,0.7252747252747253,0.7252747252747253,0.7252747252747253,"(0.7200654784217677, 0.7238905655342767)",0.27951167728237797,0.628013704294406,0.24065934065934066,0.3333333333333334,,[-0.7112862470818593]
5,"(910, 8)",GeneralS,,"['SO2', 'ISCO - PAL', 'RR', 'Temp', 'SBP', 'DBP', 'HR', 'Age']","[0.05602052008658618, 0.00904244862645124, -0.08883295747411143, -0.20316586847349954, -0.2518621742559856, -0.464413650902009, -1.4586062111307097, -2.697478268694644]","LogisticRegression(random_state=33, solver='sag')",the same as the regressor,0.7219780219780222,0.7142857142857143,0.7142857142857143,0.7252747252747253,0.7252747252747253,0.7252747252747253,"(0.7200654784217677, 0.7238905655342767)",0.27951167728237797,0.628013704294406,0.24065934065934066,0.3333333333333334,,[-0.7112862470818593]
6,"(910, 8)",GeneralS,,"['SBP', 'ISCO - PAL', 'Age', 'RR', 'SO2', 'DBP', 'HR', 'Temp']","[0.019780219780219755, 0.00879120879120876, 0.00879120879120876, 0.00879120879120876, 0.0, -0.006593406593406637, -0.0065934065934066585, -0.01978021978021982]","MLPClassifier(activation='tanh', hidden_layer_sizes=(100, 3), random_state=33,
              solver='lbfgs')",permutation,0.7124542124542128,0.6703296703296703,0.7032967032967034,0.7142857142857143,0.7252747252747253,0.7362637362637363,"(0.7052994821026266, 0.719608942805799)",0.32089180322253896,0.6404120625962733,0.3824503604665806,0.35143935986041247,,[-0.721090445798776]
7,"(910, 8)",GeneralS,,"['SBP', 'ISCO - PAL', 'Age', 'RR', 'SO2', 'DBP', 'HR', 'Temp']","[0.019780219780219755, 0.00879120879120876, 0.00879120879120876, 0.00879120879120876, 0.0, -0.006593406593406637, -0.0065934065934066585, -0.01978021978021982]","MLPClassifier(activation='tanh', hidden_layer_sizes=(100, 3), random_state=33,
              solver='lbfgs')",permutation,0.7175824175824179,0.6923076923076923,0.7060439560439561,0.7142857142857143,0.7252747252747253,0.7472527472527473,"(0.7114723425101532, 0.7236924926546826)",0.3220023793322511,0.6269656552024974,0.406678124500898,0.3536976376450062,,[-0.7047579515530323]
8,"(910, 8)",GeneralS,,"['SO2', 'Age', 'Temp', 'DBP', 'SBP', 'RR', 'HR', 'ISCO - PAL']","[0.3582417582417582, 0.15824175824175823, 0.12747252747252746, 0.10329670329670333, 0.0637362637362637, 0.0637362637362637, 0.06373626373626369, 0.019780219780219776]",DecisionTreeClassifier(random_state=33),permutation,0.6739926739926742,0.5824175824175825,0.6401098901098901,0.6758241758241759,0.7005494505494506,0.7692307692307693,"(0.6575321198987413, 0.690453228086607)",0.5177333464298851,0.6440995481127061,0.5201904676910882,0.5254660641502746,,[-11.196636303844674]
9,"(910, 8)",GeneralS,,"['SO2', 'Age', 'Temp', 'DBP', 'SBP', 'RR', 'HR', 'ISCO - PAL']","[0.3582417582417582, 0.15824175824175823, 0.12747252747252746, 0.10329670329670333, 0.0637362637362637, 0.0637362637362637, 0.06373626373626369, 0.019780219780219776]",DecisionTreeClassifier(random_state=33),permutation,0.6663003663003665,0.5934065934065934,0.6373626373626373,0.6593406593406593,0.6923076923076923,0.7802197802197802,"(0.6492796894397362, 0.6833210431609967)",0.5084490505843191,0.6362482108534742,0.5131314497596838,0.5149976144712988,,[-11.765956793870673]
10,"(910, 8)",GeneralS,,"['ISCO - PAL', 'Age', 'SBP', 'RR', 'HR', 'Temp', 'SO2', 'DBP']","[0.03516483516483513, 0.019780219780219755, 0.01538461538461533, 0.00879120879120876, 0.0043956043956043574, 0.00219780219780219, 0.0, -0.0043956043956044685]",KNeighborsClassifier(),permutation,0.6985347985347988,0.6263736263736264,0.6813186813186813,0.7032967032967034,0.7142857142857143,0.7472527472527473,"(0.6877220811878173, 0.7093475158817804)",0.35833384771967913,0.6043473528583178,0.40083278406149303,0.36761113155849995,,[-3.4383300442739015]
11,"(910, 8)",GeneralS,,"['ISCO - PAL', 'Age', 'SBP', 'RR', 'HR', 'Temp', 'SO2', 'DBP']","[0.03516483516483513, 0.019780219780219755, 0.01538461538461533, 0.00879120879120876, 0.0043956043956043574, 0.00219780219780219, 0.0, -0.0043956043956044685]",KNeighborsClassifier(),permutation,0.6985347985347988,0.6263736263736264,0.6813186813186813,0.7032967032967034,0.7142857142857143,0.7472527472527473,"(0.6877220811878173, 0.7093475158817804)",0.35833384771967913,0.6043473528583178,0.40083278406149303,0.36761113155849995,,[-3.4383300442739015]
12,"(910, 8)",GeneralS,,"['SO2', 'SBP', 'RR', 'Age', 'DBP', 'ISCO - PAL', 'HR', 'Temp']","[0.1186813186813187, 0.01978021978021982, 0.008791208791208848, 0.008791208791208805, 0.006593406593406637, 0.002197802197802212, 0.002197802197802212, -0.01098901098901095]",GaussianNB(),permutation,0.7135531135531138,0.6043956043956044,0.6923076923076923,0.7197802197802198,0.7472527472527473,0.7802197802197802,"(0.6979025973847671, 0.7292036297214605)",0.5091696293269771,0.7606615150606378,0.548673734904904,0.5197073978652926,,[-0.6640981910041381]
13,"(910, 8)",GeneralS,,"['SO2', 'SBP', 'RR', 'Age', 'DBP', 'ISCO - PAL', 'HR', 'Temp']","[0.1186813186813187, 0.01978021978021982, 0.008791208791208848, 0.008791208791208805, 0.006593406593406637, 0.002197802197802212, 0.002197802197802212, -0.01098901098901095]",GaussianNB(),permutation,0.7135531135531138,0.6043956043956044,0.6923076923076923,0.7197802197802198,0.7472527472527473,0.7802197802197802,"(0.6979025973847671, 0.7292036297214605)",0.5091696293269771,0.7606615150606378,0.548673734904904,0.5197073978652926,,[-0.6640981910041379]
14,"(910, 8)",GeneralS,,"['SO2', 'Temp', 'HR', 'RR', 'Age', 'ISCO - PAL', 'DBP', 'SBP']","[0.17802197802197797, 0.04835164835164829, 0.015384615384615353, 0.00879120879120876, 0.002197802197802168, 0.0, -2.2204460492503132e-17, -0.002197802197802212]",LinearDiscriminantAnalysis(),permutation,0.7626373626373628,0.7252747252747253,0.7472527472527473,0.7582417582417582,0.7802197802197802,0.8131868131868132,"(0.7534556358010964, 0.7718190894736292)",0.5484273888307212,0.8006009589825381,0.6483994971619575,0.5548362164151637,,[-0.6268031835466233]
15,"(910, 8)",GeneralS,,"['SO2', 'Temp', 'HR', 'RR', 'Age', 'ISCO - PAL', 'DBP', 'SBP']","[0.17802197802197797, 0.04835164835164829, 0.015384615384615353, 0.00879120879120876, 0.002197802197802168, 0.0, -2.2204460492503132e-17, -0.002197802197802212]",LinearDiscriminantAnalysis(),permutation,0.7626373626373628,0.7252747252747253,0.7472527472527473,0.7582417582417582,0.7802197802197802,0.8131868131868132,"(0.7534556358010964, 0.7718190894736292)",0.5484273888307212,0.8006009589825381,0.6483994971619575,0.5548362164151637,,[-0.6268031835466235]
16,"(910, 8)",GeneralS,,"['SBP', 'SO2', 'Temp', 'RR', 'Age', 'DBP', 'HR', 'ISCO - PAL']","[0.4907610829671867, 0.19176833370050142, 0.09454572566447426, 0.06642044072424888, 0.0561754276846257, 0.05445004784180862, 0.038744062760117326, 0.007134878657037078]","GradientBoostingClassifier(learning_rate=1.0, random_state=33)",the same as the classifier,0.7175824175824178,0.6373626373626373,0.6923076923076923,0.7197802197802198,0.7362637362637363,0.7912087912087912,"(0.703988038406591, 0.7311767967582447)",0.5233889574814853,0.7221710412719186,0.5509192083993157,0.5132270069112174,,[-1.6545135776811146]
17,"(910, 8)",GeneralS,,"['SBP', 'SO2', 'Temp', 'RR', 'Age', 'DBP', 'HR', 'ISCO - PAL']","[0.4907610829671867, 0.19176833370050142, 0.09454572566447426, 0.06642044072424888, 0.0561754276846257, 0.05445004784180862, 0.038744062760117326, 0.007134878657037078]","GradientBoostingClassifier(learning_rate=1.0, random_state=33)",the same as the classifier,0.7201465201465205,0.6373626373626373,0.6923076923076923,0.7252747252747253,0.7445054945054945,0.7912087912087912,"(0.7063157360833525, 0.7339773042096884)",0.526994529032225,0.7219606376404621,0.5563348060447245,0.5152194686405213,,[-1.65959985786164]
